INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
603,T,250724,174327,49.0733311N,125.7647281W,23,0.0,110
604,T,250724,174328,49.0733311N,125.7647283W,23,0.0,110
605,T,250724,174329,49.0733310N,125.7647285W,23,0.0,110
606,T,250724,174330,49.0733311N,125.7647285W,23,0.0,110
607,T,250724,174331,49.0733311N,125.7647286W,23,0.0,110
608,T,250724,174332,49.0733311N,125.7647286W,23,0.0,110
609,T,250724,174333,49.0733311N,125.7647288W,23,0.0,110
610,T,250724,174334,49.0733313N,125.7647288W,23,0.0,110
611,T,250724,174335,49.0733315N,125.7647288W,23,0.0,110
612,T,250724,174336,49.0733315N,125.7647288W,23,0.0,110
613,T,250724,174337,49.0733316N,125.7647288W,23,0.0,110
614,T,250724,174338,49.0733316N,125.7647288W,23,0.0,110
615,T,250724,174339,49.0733318N,125.7647288W,23,0.0,110
616,T,250724,174340,49.0733318N,125.7647288W,23,0.0,110
617,T,250724,174341,49.0733321N,125.7647290W,23,0.0,110
618,T,250724,174342,49.0733323N,125.7647290W,23,0.0,110
619,T,250724,174343,49.0733325N,125.7647290W,23,0.0,110
620,T,250724,174344,49.0733325N,125.7647290W,23,0.0,110
621,T,250724,174345,49.0733326N,125.7647290W,23,0.0,110
622,T,250724,174346,49.0733328N,125.7647290W,23,0.0,110
623,T,250724,174347,49.0733330N,125.7647288W,23,0.0,110
624,T,250724,174348,49.0733330N,125.7647286W,23,0.0,110
625,T,250724,174349,49.0733331N,125.7647286W,23,0.0,110
626,T,250724,174350,49.0733333N,125.7647286W,23,0.0,110
627,T,250724,174351,49.0733335N,125.7647285W,23,0.0,110
628,T,250724,174352,49.0733335N,125.7647285W,23,0.0,110
629,T,250724,174353,49.0733336N,125.7647285W,23,0.0,110
630,T,250724,174354,49.0733336N,125.7647286W,23,0.0,110
631,T,250724,174355,49.0733336N,125.7647286W,23,0.0,110
632,T,250724,174356,49.0733336N,125.7647288W,23,0.0,110
633,T,250724,174357,49.0733338N,125.7647290W,23,0.0,110
634,T,250724,174358,49.0733338N,125.7647293W,23,0.0,110
635,T,250724,174359,49.0733338N,125.7647293W,23,0.0,110
636,T,250724,174400,49.0733338N,125.7647293W,23,0.0,110
637,T,250724,174401,49.0733338N,125.7647293W,23,0.0,110
638,T,250724,174402,49.0733338N,125.7647295W,23,0.0,110
639,T,250724,174403,49.0733336N,125.7647295W,23,0.0,110
640,T,250724,174404,49.0733336N,125.7647295W,23,0.0,110
641,T,250724,174405,49.0733336N,125.7647295W,23,0.0,110
642,T,250724,174406,49.0733335N,125.7647293W,23,0.0,110
643,T,250724,174407,49.0733335N,125.7647293W,23,0.0,110
644,T,250724,174408,49.0733335N,125.7647293W,23,0.0,110
645,T,250724,174409,49.0733336N,125.7647293W,23,0.0,110
646,T,250724,174410,49.0733336N,125.7647291W,23,0.0,110
647,T,250724,174411,49.0733336N,125.7647291W,23,0.0,110
648,T,250724,174412,49.0733336N,125.7647291W,23,0.0,110
649,T,250724,174413,49.0733336N,125.7647291W,23,0.0,110
650,T,250724,174414,49.0733336N,125.7647291W,23,0.0,110
651,T,250724,174415,49.0733335N,125.7647291W,23,0.0,110
652,T,250724,174416,49.0733335N,125.7647291W,23,0.0,110
653,T,250724,174417,49.0733333N,125.7647291W,23,0.0,110
654,T,250724,174418,49.0733333N,125.7647290W,23,0.0,110
655,T,250724,174419,49.0733333N,125.7647290W,23,0.0,110
656,T,250724,174420,49.0733331N,125.7647288W,23,0.0,110
657,T,250724,174421,49.0733331N,125.7647288W,23,0.0,110
658,T,250724,174422,49.0733331N,125.7647288W,23,0.0,110
659,T,250724,174423,49.0733331N,125.7647288W,23,0.0,110
660,T,250724,174424,49.0733330N,125.7647288W,23,0.0,110
661,T,250724,174425,49.0733330N,125.7647288W,23,0.0,110
662,T,250724,174426,49.0733328N,125.7647288W,23,0.0,110
663,T,250724,174427,49.0733326N,125.7647286W,23,0.0,110
664,T,250724,174428,49.0733326N,125.7647288W,23,0.0,110
665,T,250724,174429,49.0733325N,125.7647288W,23,0.0,110
666,T,250724,174430,49.0733325N,125.7647290W,23,0.0,110
667,T,250724,174431,49.0733323N,125.7647290W,23,0.0,110
668,T,250724,174432,49.0733323N,125.7647291W,23,0.0,110
669,T,250724,174433,49.0733321N,125.7647293W,23,0.0,110
670,T,250724,174434,49.0733253N,125.7647423W,23,4.7,230
671,T,250724,174435,49.0733173N,125.7647511W,23,3.9,203
672,T,250724,174436,49.0733101N,125.7647551W,24,2.5,203
673,T,250724,174437,49.0733098N,125.7647551W,23,0.0,203
674,T,250724,174438,49.0733100N,125.7647550W,23,0.0,203
675,T,250724,174439,49.0733101N,125.7647548W,23,0.0,203
676,T,250724,174440,49.0733101N,125.7647546W,23,0.0,203
677,T,250724,174441,49.0733101N,125.7647545W,23,0.0,203
678,T,250724,174442,49.0733100N,125.7647541W,23,0.0,203
679,T,250724,174443,49.0733096N,125.7647538W,23,0.0,203
680,T,250724,174444,49.0733095N,125.7647535W,23,0.0,203
681,T,250724,174445,49.0733090N,125.7647533W,23,0.0,203
682,T,250724,174446,49.0733086N,125.7647531W,23,0.0,203
683,T,250724,174447,49.0733083N,125.7647528W,23,0.0,203
684,T,250724,174448,49.0733080N,125.7647528W,23,0.0,203
685,T,250724,174449,49.0733076N,125.7647525W,23,0.0,203
686,T,250724,174450,49.0733073N,125.7647523W,23,0.0,203
687,T,250724,174451,49.0733070N,125.7647521W,23,0.0,203
688,T,250724,174452,49.0733068N,125.7647520W,23,0.0,203
689,T,250724,174453,49.0733066N,125.7647518W,23,0.0,203
690,T,250724,174454,49.0733065N,125.7647515W,23,0.0,203
691,T,250724,174455,49.0733063N,125.7647511W,23,0.0,203
692,T,250724,174456,49.0733061N,125.7647510W,23,0.0,203
693,T,250724,174457,49.0733058N,125.7647508W,23,0.0,203
694,T,250724,174458,49.0733056N,125.7647506W,23,0.0,203
695,T,250724,174459,49.0733053N,125.7647505W,23,0.0,203
696,T,250724,174500,49.0733053N,125.7647503W,23,0.0,203
697,T,250724,174501,49.0733051N,125.7647501W,23,0.0,203
698,T,250724,174502,49.0733048N,125.7647501W,23,0.0,203
699,T,250724,174503,49.0733046N,125.7647500W,23,0.0,203
700,T,250724,174504,49.0733043N,125.7647498W,23,0.0,203
701,T,250724,174505,49.0733041N,125.7647496W,23,0.0,203
702,T,250724,174506,49.0733040N,125.7647491W,23,0.0,203
703,T,250724,174507,49.0733040N,125.7647488W,23,0.0,203
704,T,250724,174508,49.0733000N,125.7647418W,23,2.5,203
705,T,250724,174509,49.0732948N,125.7647348W,23,2.8,203
706,T,250724,174510,49.0732948N,125.7647346W,23,0.0,203
707,T,250724,174511,49.0732948N,125.7647345W,23,0.0,203
708,C,250724,174511,49.0732948N,125.7647345W,23,0.0,203
709,T,250724,174512,49.0732950N,125.7647343W,23,0.0,203
710,T,250724,174513,49.0732951N,125.7647340W,23,0.0,203
711,T,250724,174514,49.0733031N,125.7647368W,22,3.9,347
712,T,250724,174515,49.0733115N,125.7647291W,22,5.3,50
713,T,250724,174516,49.0733180N,125.7647156W,22,3.9,53
714,C,250724,174516,49.0733180N,125.7647156W,22,3.9,53
715,T,250724,174517,49.0733183N,125.7647116W,22,1.6,53
716,T,250724,174518,49.0733178N,125.7647115W,22,0.0,53
717,T,250724,174519,49.0733180N,125.7647111W,22,0.0,53
718,T,250724,174520,49.0733186N,125.7647098W,22,0.0,53
719,T,250724,174521,49.0733195N,125.7647085W,22,0.0,53
720,T,250724,174522,49.0733205N,125.7646968W,23,3.6,99
721,C,250724,174522,49.0733205N,125.7646968W,23,3.6,99
722,T,250724,174523,49.0733226N,125.7646960W,23,0.0,99
723,T,250724,174524,49.0733245N,125.7646958W,23,0.0,99
724,T,250724,174525,49.0733390N,125.7647030W,23,6.1,339
725,T,250724,174526,49.0733505N,125.7647026W,23,3.1,339
726,T,250724,174527,49.0733553N,125.7646986W,23,1.6,339
727,T,250724,174528,49.0733608N,125.7646873W,23,4.8,64
728,C,250724,174528,49.0733608N,125.7646873W,23,4.8,64
729,T,250724,174529,49.0733611N,125.7646753W,23,3.1,64
730,T,250724,174530,49.0733616N,125.7646753W,23,0.0,64
731,T,250724,174531,49.0733721N,125.7646780W,22,4.6,353
732,T,250724,174532,49.0733788N,125.7646758W,22,2.2,353
733,T,250724,174533,49.0733826N,125.7646673W,23,3.0,353
734,T,250724,174534,49.0733888N,125.7646538W,23,4.6,64
735,C,250724,174534,49.0733888N,125.7646538W,23,4.6,64
736,T,250724,174535,49.0733891N,125.7646530W,23,0.0,64
737,T,250724,174536,49.0733896N,125.7646523W,23,0.0,64
738,T,250724,174537,49.0733901N,125.7646521W,23,0.0,64
739,T,250724,174538,49.0733961N,125.7646591W,24,3.5,64
740,T,250724,174539,49.0734003N,125.7646666W,24,2.3,64
741,T,250724,174540,49.0734000N,125.7646660W,24,0.0,64
742,T,250724,174541,49.0733998N,125.7646658W,24,0.0,64
