INDEX,RCR,DATE,TIME,VALID,LATITUDE,N/S,LONGITUDE,E/W,HEIGHT,SPEED,PDOP,HDOP,VDOP,NSAT (USED/VIEW),SAT INFO (SID-SNR),DISTANCE,
484,T,2015/07/16,10:49:43.000,DGPS,52.634787,N,1.263947,E,88.548 m,0.055 km/h,1.88,0.98,1.60,8(10),#31-46;#12-26;#14-37;#25-33;#29-39;#02-31;#24-35;#06-33;03-00;26-00,      0.08 m,
485,T,2015/07/16,10:49:53.000,DGPS,52.634787,N,1.263948,E,88.506 m,0.065 km/h,2.00,1.04,1.71,7(10),#31-49;12-19;#14-37;#25-24;#29-40;#02-32;#24-36;#06-31;03-00;26-00,      0.08 m,
486,T,2015/07/16,10:50:03.000,DGPS,52.634786,N,1.263948,E,88.473 m,0.022 km/h,2.00,1.04,1.71,7(10),#31-49;12-18;#14-37;#25-18;#29-41;#02-30;#24-37;#06-31;03-00;26-00,      0.06 m,
487,T,2015/07/16,10:50:13.000,DGPS,52.634786,N,1.263949,E,88.447 m,0.021 km/h,2.00,1.04,1.71,7(10),#31-49;12-17;#14-36;#25-18;#29-41;#02-30;#24-38;#06-27;03-00;26-00,      0.06 m,
488,T,2015/07/16,10:50:23.000,DGPS,52.634786,N,1.263949,E,88.421 m,0.038 km/h,1.99,1.04,1.70,7(10),#31-49;12-15;#14-36;#25-23;#29-41;#02-31;#24-38;#06-21;03-00;26-00,      0.06 m,
489,T,2015/07/16,10:50:33.000,DGPS,52.634786,N,1.263950,E,88.364 m,0.049 km/h,1.99,1.04,1.70,7(10),#31-49;12-16;#14-36;#25-26;#29-42;#02-31;#24-39;#06-24;03-00;26-00,      0.06 m,
490,T,2015/07/16,10:50:43.000,DGPS,52.634785,N,1.263950,E,88.380 m,0.019 km/h,2.09,1.15,1.74,6(10),#31-46;12-18;#14-37;#25-24;#29-40;02-16;#24-38;#06-29;03-00;26-00,      0.04 m,
491,T,2015/07/16,10:50:53.000,DGPS,52.634784,N,1.263949,E,88.329 m,0.033 km/h,1.98,1.04,1.69,7(10),#31-47;12-25;#14-31;#25-29;#29-42;#02-28;#24-38;#06-33;03-00;26-00,      0.16 m,
492,T,2015/07/16,10:51:03.000,DGPS,52.634784,N,1.263950,E,88.239 m,0.044 km/h,1.98,1.04,1.69,7(10),#31-47;12-17;#14-29;#25-30;#29-42;#02-26;#24-36;#06-29;03-00;26-00,      0.11 m,
493,T,2015/07/16,10:51:13.000,DGPS,52.634784,N,1.263951,E,88.203 m,0.025 km/h,2.08,1.16,1.73,6(10),#31-47;12-25;#14-29;#25-30;#29-42;02-21;#24-35;#06-28;03-00;26-00,      0.07 m,
494,T,2015/07/16,10:51:23.000,DGPS,52.634784,N,1.263952,E,88.159 m,0.018 km/h,1.86,0.98,1.58,8(10),#31-47;#12-26;#14-26;#25-31;#29-43;#02-27;#24-35;#06-27;03-00;26-00,      0.08 m,
495,T,2015/07/16,10:51:33.000,DGPS,52.634784,N,1.263952,E,88.179 m,0.012 km/h,1.86,0.98,1.57,8(10),#31-47;#12-29;#14-31;#25-28;#29-43;#02-31;#24-36;#06-28;03-00;26-00,      0.03 m,
496,T,2015/07/16,10:51:43.000,DGPS,52.634784,N,1.263951,E,88.247 m,0.005 km/h,1.85,0.98,1.57,8(10),#31-47;#12-29;#14-32;#25-29;#29-43;#02-31;#24-36;#06-30;03-00;26-00,      0.07 m,
497,T,2015/07/16,10:51:53.000,DGPS,52.634784,N,1.263951,E,88.279 m,0.017 km/h,1.97,1.04,1.67,7(10),#31-47;12-16;#14-32;#25-29;#29-43;#02-31;#24-37;#06-30;03-16;26-00,      0.05 m,
498,T,2015/07/16,10:52:03.000,DGPS,52.634784,N,1.263952,E,88.290 m,0.101 km/h,1.97,1.04,1.67,7(10),#31-47;12-20;#14-32;#25-31;#29-43;#02-28;#24-34;#06-28;03-00;26-00,      0.07 m,
499,T,2015/07/16,10:52:13.000,DGPS,52.634785,N,1.263954,E,88.220 m,0.116 km/h,1.96,1.04,1.67,7(10),#31-47;12-25;#14-32;#25-32;#29-43;#02-27;#24-30;#06-27;03-00;26-00,      0.12 m,
500,T,2015/07/16,10:52:23.000,DGPS,52.634785,N,1.263956,E,88.179 m,0.026 km/h,1.96,1.04,1.66,7(10),#31-47;12-27;#14-31;#25-31;#29-43;#02-30;#24-26;#06-27;03-00;26-00,      0.13 m,
501,T,2015/07/16,10:52:33.000,DGPS,52.634785,N,1.263957,E,88.140 m,0.043 km/h,1.84,0.98,1.56,8(10),#31-47;#12-30;#14-30;#25-31;#29-43;#02-32;#24-28;#06-26;03-00;26-00,      0.11 m,
502,T,2015/07/16,10:52:43.000,DGPS,52.634785,N,1.263958,E,88.112 m,0.040 km/h,1.95,1.04,1.65,7(10),#31-47;12-25;#14-29;#25-28;#29-43;#02-34;#24-30;#06-25;03-00;26-00,      0.06 m,
503,T,2015/07/16,10:52:53.000,DGPS,52.634785,N,1.263958,E,88.100 m,0.019 km/h,1.95,1.04,1.65,7(10),#31-46;12-22;#14-31;#25-29;#29-43;#02-34;#24-30;#06-23;03-00;26-00,      0.02 m,
504,T,2015/07/16,10:53:03.000,DGPS,52.634784,N,1.263958,E,88.041 m,0.027 km/h,2.25,1.20,1.91,7(9),#31-46;#12-28;#14-31;#25-32;#29-43;#02-34;#24-30;06-17;03-00,      0.08 m,
505,T,2015/07/16,10:53:13.000,DGPS,52.634784,N,1.263959,E,88.003 m,0.090 km/h,2.47,1.34,2.07,6(10),#31-46;12-25;#14-30;#25-34;#29-43;#02-32;24-23;#06-22;03-00;26-00,      0.05 m,
506,T,2015/07/16,10:53:23.000,DGPS,52.634784,N,1.263957,E,87.960 m,0.214 km/h,2.17,1.23,1.79,6(10),#31-46;12-28;14-26;#25-32;#29-42;#02-33;#24-25;#06-31;03-00;26-00,      0.15 m,
507,T,2015/07/16,10:53:33.000,DGPS,52.634782,N,1.263954,E,87.899 m,0.067 km/h,1.83,0.98,1.55,8(10),#31-46;#12-27;#14-29;#25-33;#29-42;#02-31;#24-27;#06-30;03-00;26-00,      0.24 m,
508,T,2015/07/16,10:53:43.000,DGPS,52.634782,N,1.263954,E,87.819 m,0.073 km/h,2.17,1.23,1.78,6(10),#31-46;12-20;14-23;#25-34;#29-42;#02-29;#24-30;#06-27;03-00;26-00,      0.11 m,
509,T,2015/07/16,10:53:53.000,DGPS,52.634782,N,1.263954,E,87.698 m,0.019 km/h,2.47,1.45,2.01,5(10),#31-46;12-18;14-24;#25-33;#29-43;#02-22;#24-29;06-19;03-00;26-00,      0.12 m,
510,T,2015/07/16,10:54:03.000,DGPS,52.634782,N,1.263954,E,87.645 m,0.018 km/h,2.03,1.16,1.67,6(10),#31-45;12-21;#14-28;#25-30;#29-43;02-21;#24-26;#06-24;03-00;26-00,      0.05 m,
511,T,2015/07/16,10:54:13.000,DGPS,52.634781,N,1.263952,E,87.608 m,0.020 km/h,2.40,1.28,2.03,7(10),#31-45;#12-31;#14-28;#25-28;#29-43;#02-26;24-22;#06-23;26-00;03-00,      0.17 m,
512,T,2015/07/16,10:54:23.000,DGPS,52.634780,N,1.263951,E,87.606 m,0.072 km/h,2.40,1.28,2.02,7(10),#31-45;#12-32;#14-26;#25-29;#29-43;#02-28;24-20;#06-21;26-00;03-00,      0.05 m,
513,T,2015/07/16,10:54:33.000,DGPS,52.634780,N,1.263951,E,87.609 m,0.021 km/h,1.82,0.99,1.53,8(10),#31-45;#12-31;#14-28;#25-30;#29-42;#02-30;#24-21;#06-20;26-00;03-00,      0.04 m,
514,T,2015/07/16,10:54:43.000,DGPS,52.634780,N,1.263950,E,87.637 m,0.058 km/h,2.39,1.28,2.02,7(10),#31-45;#12-29;#14-28;#25-31;#29-42;#02-32;24-20;#06-21;26-00;03-00,      0.08 m,
515,T,2015/07/16,10:54:53.000,DGPS,52.634780,N,1.263949,E,87.813 m,0.070 km/h,1.82,0.99,1.53,8(10),#31-45;#12-26;#14-30;#25-31;#29-40;#02-30;#24-23;#06-22;26-00;03-00,      0.19 m,
516,T,2015/07/16,10:55:03.000,DGPS,52.634781,N,1.263951,E,87.947 m,0.099 km/h,1.85,1.04,1.53,7(10),#31-38;#12-29;#14-32;#25-31;#29-40;02-20;#24-28;#06-23;26-00;03-00,      0.23 m,
517,T,2015/07/16,10:55:13.000,DGPS,52.634782,N,1.263951,E,88.091 m,0.013 km/h,1.81,0.99,1.52,8(10),#31-41;#12-28;#14-28;#25-28;#29-40;#02-30;#24-25;#06-35;26-00;03-00,      0.15 m,
518,T,2015/07/16,10:55:23.000,DGPS,52.634782,N,1.263952,E,88.202 m,0.063 km/h,1.98,1.14,1.62,7(10),#31-41;#12-27;14-22;#25-27;#29-40;#02-31;#24-26;#06-33;26-00;03-00,      0.13 m,
519,T,2015/07/16,10:55:33.000,DGPS,52.634783,N,1.263952,E,88.275 m,0.077 km/h,1.81,0.99,1.52,8(10),#31-41;#12-25;#14-22;#25-27;#29-40;#02-32;#24-25;#06-33;26-00;03-00,      0.10 m,
520,T,2015/07/16,10:55:43.000,DGPS,52.634783,N,1.263954,E,88.402 m,0.013 km/h,1.81,0.99,1.51,8(10),#31-40;#12-25;#14-28;#25-24;#29-38;#02-36;#24-23;#06-29;26-00;03-00,      0.17 m,
521,T,2015/07/16,10:55:53.000,DGPS,52.634782,N,1.263953,E,88.395 m,0.022 km/h,2.14,1.24,1.75,6(10),#31-45;12-17;14-22;#25-26;#29-40;#02-36;#24-26;#06-26;26-00;03-00,      0.05 m,
522,T,2015/07/16,10:56:03.000,DGPS,52.634782,N,1.263953,E,88.354 m,0.036 km/h,2.14,1.24,1.74,6(10),#31-45;12-16;14-23;#25-21;#29-40;#02-35;#24-29;#06-21;26-00;03-00,      0.06 m,
523,T,2015/07/16,10:56:13.000,DGPS,52.634782,N,1.263953,E,88.313 m,0.049 km/h,2.14,1.24,1.74,6(10),#31-45;12-23;14-20;#25-20;#29-41;#02-35;#24-31;#06-24;26-00;03-00,      0.04 m,
524,T,2015/07/16,10:56:23.000,DGPS,52.634782,N,1.263953,E,88.241 m,0.050 km/h,1.90,1.04,1.58,7(10),#31-45;12-20;#14-26;#25-17;#29-41;#02-32;#24-30;#06-28;26-00;03-00,      0.08 m,
525,T,2015/07/16,10:56:33.000,DGPS,52.634781,N,1.263952,E,88.223 m,0.154 km/h,1.89,1.04,1.58,7(9),#31-45;12-24;#14-26;#25-28;#29-38;#02-35;#24-25;#06-33;03-00,      0.09 m,
526,T,2015/07/16,10:56:43.000,DGPS,52.634781,N,1.263951,E,88.194 m,0.027 km/h,1.79,0.99,1.50,8(9),#31-45;#12-29;#14-28;#25-27;#29-38;#02-33;#24-27;#06-32;03-00,      0.10 m,
527,T,2015/07/16,10:56:53.000,DGPS,52.634780,N,1.263951,E,88.115 m,0.023 km/h,1.79,0.99,1.50,8(10),#31-44;#12-31;#14-29;#25-28;#29-40;#02-25;#24-32;#06-30;26-00;03-00,      0.10 m,
528,T,2015/07/16,10:57:03.000,DGPS,52.634780,N,1.263951,E,88.063 m,0.011 km/h,1.79,0.99,1.49,8(10),#31-45;#12-31;#14-29;#25-33;#29-41;#02-25;#24-34;#06-29;26-00;03-00,      0.06 m,
529,T,2015/07/16,10:57:13.000,DGPS,52.634780,N,1.263951,E,88.011 m,0.033 km/h,1.79,0.99,1.49,8(9),#31-45;#12-33;#14-30;#25-33;#29-41;#02-30;#24-36;#06-29;03-00,      0.08 m,
530,T,2015/07/16,10:57:23.000,DGPS,52.634778,N,1.263950,E,87.959 m,0.096 km/h,1.79,0.99,1.49,8(10),#31-45;#12-32;#14-30;#25-33;#29-41;#02-30;#24-36;#06-31;26-00;03-00,      0.15 m,
531,T,2015/07/16,10:57:33.000,DGPS,52.634777,N,1.263949,E,87.877 m,0.084 km/h,1.79,0.99,1.49,8(10),#31-45;#12-29;#14-31;#25-34;#29-39;#02-24;#24-36;#06-32;26-00;03-00,      0.20 m,
532,T,2015/07/16,10:57:43.000,DGPS,52.634776,N,1.263948,E,87.810 m,0.018 km/h,1.88,1.05,1.56,7(10),#31-45;12-22;#14-29;#25-34;#29-39;#02-25;#24-35;#06-29;26-00;03-00,      0.14 m,
533,T,2015/07/16,10:57:53.000,DGPS,52.634775,N,1.263947,E,87.729 m,0.034 km/h,1.87,1.05,1.55,7(10),#31-45;12-17;#14-28;#25-34;#29-39;#02-27;#24-35;#06-26;26-00;03-00,      0.13 m,
534,T,2015/07/16,10:58:03.000,DGPS,52.634775,N,1.263948,E,87.646 m,0.026 km/h,1.78,0.99,1.48,8(10),#31-42;#12-22;#14-30;#25-16;#29-38;#02-23;#24-32;#06-23;26-00;03-00,      0.12 m,
535,T,2015/07/16,10:58:13.000,DGPS,52.634774,N,1.263947,E,87.540 m,0.119 km/h,1.78,0.99,1.48,8(9),#31-43;#12-24;#14-27;#25-30;#29-43;#02-29;#24-32;#06-31;03-00,      0.19 m,
536,T,2015/07/16,10:58:23.000,DGPS,52.634774,N,1.263948,E,87.577 m,0.041 km/h,1.77,0.99,1.47,8(10),#31-33;#12-23;#14-25;#25-26;#29-30;#02-27;#24-25;#06-35;26-00;03-00,      0.06 m,
537,T,2015/07/16,10:58:33.000,DGPS,52.634774,N,1.263948,E,87.579 m,0.065 km/h,1.27,0.97,0.83,8(10),#31-19;#12-23;#14-24;#25-18;#29-17;#02-25;#24-17;#06-22;26-00;03-00,      0.07 m,
538,T,2015/07/16,10:58:43.000,DGPS,52.634774,N,1.263952,E,87.608 m,0.129 km/h,1.27,0.97,0.83,8(10),#31-30;#12-26;#14-25;#25-21;#29-25;#02-34;#24-24;#06-27;03-00;26-00,      0.23 m,
539,T,2015/07/16,10:58:53.000,DGPS,52.634774,N,1.263953,E,87.612 m,0.057 km/h,1.77,0.99,1.47,8(10),#31-28;#12-29;#14-29;#25-16;#29-26;#02-33;#24-24;#06-32;03-00;26-00,      0.09 m,
540,T,2015/07/16,10:59:03.000,DGPS,52.634773,N,1.263953,E,87.619 m,0.096 km/h,1.77,0.99,1.46,8(10),#31-28;#12-29;#14-28;#25-18;#29-26;#02-34;#24-27;#06-31;26-00;03-00,      0.05 m,
541,T,2015/07/16,10:59:13.000,DGPS,52.634773,N,1.263954,E,87.616 m,0.061 km/h,1.77,0.99,1.46,8(9),#31-17;#12-28;#14-23;#25-16;#29-17;#02-29;#24-17;#06-33;03-00,      0.08 m,
542,T,2015/07/16,10:59:23.000,DGPS,52.634773,N,1.263955,E,87.616 m,0.076 km/h,2.32,1.29,1.93,7(10),#31-15;#12-29;#14-22;#25-18;#29-18;#02-28;24-00;#06-31;26-00;03-00,      0.05 m,
543,T,2015/07/16,10:59:33.000,DGPS,52.634772,N,1.263955,E,87.619 m,0.085 km/h,2.32,1.29,1.92,7(9),#31-24;#12-28;#14-23;#25-16;#29-16;#02-30;24-00;#06-29;03-00,      0.06 m,
544,T,2015/07/16,10:59:43.000,DGPS,52.634772,N,1.263957,E,87.617 m,0.114 km/h,1.52,1.23,0.89,7(10),#31-26;#12-27;#14-25;#25-14;#29-15;#02-30;24-00;#06-28;26-00;03-00,      0.12 m,
545,T,2015/07/16,10:59:53.000,DGPS,52.634773,N,1.263959,E,87.616 m,0.075 km/h,1.67,1.37,0.96,5(9),#31-28;#12-27;#14-25;25-00;29-00;#02-29;24-00;#06-25;03-00,      0.13 m,
546,T,2015/07/16,11:00:03.000,DGPS,52.634772,N,1.263961,E,87.616 m,0.100 km/h,1.31,0.97,0.88,7(9),#31-30;#12-26;#14-25;25-00;#29-17;#02-30;#24-17;#06-26;03-00,      0.16 m,
547,T,2015/07/16,11:00:13.000,DGPS,52.634771,N,1.263964,E,87.617 m,0.009 km/h,2.10,1.00,1.84,7(9),#31-30;#12-27;#14-22;25-00;#29-15;#02-30;#24-17;#06-30;26-00,      0.25 m,
548,T,2015/07/16,11:00:23.000,DGPS,52.634770,N,1.263965,E,87.616 m,0.105 km/h,1.75,0.99,1.44,8(10),#31-31;#12-28;#14-20;#25-15;#29-21;#02-31;#24-17;#06-30;03-00;26-00,      0.12 m,
549,T,2015/07/16,11:00:33.000,DGPS,52.634770,N,1.263967,E,87.615 m,0.070 km/h,1.75,0.99,1.44,8(9),#31-31;#12-27;#14-18;#25-16;#29-21;#02-28;#24-19;#06-30;03-00,      0.12 m,
550,T,2015/07/16,11:00:43.000,DGPS,52.634771,N,1.263969,E,87.613 m,0.109 km/h,1.75,0.99,1.44,8(10),#31-31;#12-23;#14-15;#25-17;#29-17;#02-29;#24-18;#06-31;26-00;03-00,      0.15 m,
551,T,2015/07/16,11:00:53.000,DGPS,52.634771,N,1.263971,E,87.620 m,0.078 km/h,1.94,1.16,1.56,7(9),#31-32;#12-23;14-00;#25-18;#29-21;#02-27;#24-17;#06-27;03-00,      0.14 m,
552,T,2015/07/16,11:01:03.000,DGPS,52.634772,N,1.263972,E,87.630 m,0.034 km/h,3.58,1.87,3.05,6(9),#31-33;#12-23;14-00;#25-18;#29-18;#02-26;24-00;#06-27;26-00,      0.12 m,
553,T,2015/07/16,11:01:13.000,DGPS,52.634773,N,1.263974,E,87.628 m,0.103 km/h,1.77,1.04,1.44,7(8),#31-33;#12-25;#14-19;#25-20;#29-19;02-00;#24-17;#06-27,      0.13 m,
554,T,2015/07/16,11:01:23.000,DGPS,52.634773,N,1.263976,E,87.619 m,0.076 km/h,1.93,1.16,1.55,7(9),#31-34;#12-24;14-16;#25-18;#29-25;#02-18;#24-18;#06-28;03-00,      0.14 m,
555,T,2015/07/16,11:01:33.000,DGPS,52.634771,N,1.263977,E,87.601 m,0.098 km/h,1.93,1.16,1.55,7(10),#31-34;#12-23;14-15;#25-19;#29-23;#02-14;#24-21;#06-27;26-00;03-00,      0.24 m,
556,T,2015/07/16,11:01:43.000,DGPS,52.634770,N,1.263978,E,87.594 m,0.054 km/h,2.31,1.10,2.04,6(9),#31-34;12-00;#14-18;25-00;#29-22;#02-15;#24-19;#06-25;03-00,      0.05 m,
557,T,2015/07/16,11:01:53.000,DGPS,52.634771,N,1.263980,E,87.591 m,0.107 km/h,1.73,0.99,1.42,8(9),#31-34;#12-15;#14-18;#25-17;#29-18;#02-19;#24-23;#06-25;03-00,      0.12 m,
558,T,2015/07/16,11:02:03.000,DGPS,52.634770,N,1.263982,E,87.571 m,0.078 km/h,1.73,0.99,1.42,8(9),#31-34;#12-17;#14-17;#25-18;#29-16;#02-24;#24-25;#06-23;03-00,      0.18 m,
559,T,2015/07/16,11:02:13.000,DGPS,52.634770,N,1.263984,E,87.457 m,0.120 km/h,1.81,1.05,1.47,7(10),#31-34;12-15;#14-17;#25-15;#29-17;#02-25;#24-22;#06-25;26-00;03-00,      0.17 m,
560,T,2015/07/16,11:02:23.000,DGPS,52.634769,N,1.263985,E,87.377 m,0.108 km/h,2.05,1.00,1.79,7(9),#31-33;#12-20;#14-15;25-00;#29-16;#02-25;#24-19;#06-27;26-00,      0.15 m,
561,T,2015/07/16,11:02:33.000,DGPS,52.634768,N,1.263986,E,87.284 m,0.107 km/h,2.57,1.07,2.34,6(9),#31-33;#12-20;#14-15;25-00;29-00;#02-21;#24-21;#06-30;26-00,      0.18 m,
562,T,2015/07/16,11:02:43.000,DGPS,52.634766,N,1.263986,E,87.247 m,0.101 km/h,1.88,1.04,1.56,7(8),#31-32;#12-23;#14-18;#25-19;29-00;#02-22;#24-21;#06-33,      0.17 m,
563,T,2015/07/16,11:02:53.000,DGPS,52.634764,N,1.263987,E,87.222 m,0.080 km/h,2.19,1.35,1.73,5(8),#31-32;12-00;14-00;#25-18;29-00;#02-16;#24-20;#06-33,      0.24 m,
564,T,2015/07/16,11:03:03.000,DGPS,52.634762,N,1.263987,E,87.152 m,0.101 km/h,1.87,1.04,1.56,7(8),#31-33;#12-23;#14-20;#25-23;29-00;#02-18;#24-20;#06-33,      0.24 m,
565,T,2015/07/16,11:03:13.000,DGPS,52.634761,N,1.263988,E,87.155 m,0.142 km/h,1.90,1.09,1.56,6(9),#31-33;#12-23;#14-22;#25-20;29-00;02-00;#24-20;#06-33;26-00,      0.15 m,
566,T,2015/07/16,11:03:23.000,DGPS,52.634760,N,1.263990,E,87.170 m,0.129 km/h,1.90,1.09,1.56,6(9),#31-33;#12-16;#14-22;#25-19;29-00;02-00;#24-20;#06-32;26-00,      0.14 m,
567,T,2015/07/16,11:03:33.000,DGPS,52.634760,N,1.263991,E,87.148 m,0.142 km/h,1.72,0.99,1.40,8(9),#31-20;#12-25;#14-20;#25-19;#29-19;#02-24;#24-19;#06-30;26-00,      0.10 m,
568,T,2015/07/16,11:03:43.000,No fix,52.634759,N,1.263992,E,87.132 m,0.078 km/h,99.99,99.99,1.00,2(8),31-00;12-00;14-00;25-00;29-00;02-16;#24-15;#06-16,      0.15 m,
569,T,2015/07/16,16:54:04.000,SPS,52.634001,N,1.264666,E,149.875 m,0.620 km/h,1.80,1.56,0.91,4(11),#21-28;#19-28;16-20;27-21;18-24;#04-26;13-00;#30-24;22-00;26-00;07-00,    114.53 m,
570,T,2015/07/16,16:54:14.000,SPS,52.634176,N,1.264552,E,141.942 m,0.637 km/h,1.33,1.04,0.83,7(8),#21-27;#19-30;#16-30;#27-23;#18-26;#04-25;#30-18;22-00,     22.38 m,
571,T,2015/07/16,16:54:24.000,SPS,52.634717,N,1.264009,E,86.816 m,0.793 km/h,1.33,1.04,0.83,7(8),#21-29;#19-30;#16-29;#27-23;#18-25;#04-21;#30-16;26-00,     89.50 m,
572,T,2015/07/16,16:54:34.000,SPS,52.634688,N,1.264083,E,88.356 m,1.410 km/h,1.33,1.04,0.83,7(8),#21-29;#19-29;#16-30;#27-24;#18-20;#04-18;22-00;#30-17,      6.16 m,
573,T,2015/07/16,16:54:44.000,SPS,52.634683,N,1.264100,E,88.517 m,0.235 km/h,1.26,0.97,0.81,8(11),#21-31;#19-29;#16-30;#27-23;#18-20;#04-18;#15-30;#30-17;01-00;13-00;26-00,      1.30 m,
574,T,2015/07/16,16:54:54.000,SPS,52.634675,N,1.264106,E,88.593 m,0.542 km/h,1.26,0.97,0.81,8(11),#21-21;#19-27;#16-20;#27-20;#18-19;#04-19;#15-28;#30-18;26-00;01-00;13-00,      0.99 m,
575,T,2015/07/16,16:55:04.000,SPS,52.634684,N,1.264058,E,88.506 m,1.049 km/h,1.26,0.97,0.81,8(11),#21-27;#19-30;#16-26;#27-24;#18-18;#04-23;#15-28;#30-17;01-00;13-00;26-00,      3.46 m,
576,T,2015/07/16,16:55:14.000,SPS,52.634694,N,1.264038,E,90.149 m,0.328 km/h,1.26,0.97,0.81,8(10),#21-29;#19-31;#16-28;#27-24;#18-20;#04-25;#15-25;#30-22;01-00;26-00,      2.39 m,
577,T,2015/07/16,16:55:24.000,SPS,52.634690,N,1.264027,E,90.155 m,0.612 km/h,1.26,0.97,0.81,8(11),#21-25;#19-32;#16-27;#27-24;#18-22;#04-27;#15-19;#30-18;01-00;26-00;13-00,      0.85 m,
578,T,2015/07/16,16:55:34.000,SPS,52.634690,N,1.264001,E,89.114 m,0.608 km/h,1.26,0.97,0.81,8(11),#21-30;#19-32;#16-27;#27-22;#18-18;#04-28;#15-17;#30-18;13-00;01-00;26-00,      2.05 m,
579,T,2015/07/16,16:55:44.000,SPS,52.634686,N,1.263996,E,88.127 m,1.176 km/h,1.26,0.97,0.81,8(11),#21-30;#19-32;#16-27;#27-21;#18-18;#04-27;#15-16;#30-17;01-00;13-00;26-00,      1.16 m,
580,T,2015/07/16,16:55:54.000,SPS,52.634676,N,1.263992,E,88.174 m,0.523 km/h,1.26,0.97,0.81,8(11),#21-29;#19-23;#16-29;#27-19;#18-16;#04-20;#15-19;#30-27;01-00;26-00;13-00,      1.13 m,
581,T,2015/07/16,16:56:04.000,SPS,52.634671,N,1.263992,E,88.219 m,0.397 km/h,1.30,1.01,0.83,7(8),#21-33;#19-30;#16-29;#27-20;18-00;#04-31;#15-18;#30-22,      0.54 m,
582,T,2015/07/16,16:56:14.000,SPS,52.634666,N,1.263999,E,88.203 m,0.540 km/h,1.26,0.97,0.81,8(11),#21-33;#19-32;#16-30;#27-17;#18-20;#04-31;#15-20;#30-18;01-00;13-00;26-00,      0.71 m,
583,T,2015/07/16,16:56:24.000,SPS,52.634662,N,1.263999,E,88.171 m,0.140 km/h,1.26,0.96,0.81,8(11),#21-33;#19-34;#16-30;#27-16;#18-21;#04-29;#15-21;#30-20;13-00;01-00;26-00,      0.42 m,
584,T,2015/07/16,16:56:34.000,SPS,52.634654,N,1.264013,E,88.029 m,0.632 km/h,1.26,0.96,0.81,8(11),#21-32;#19-35;#16-20;#27-17;#18-19;#04-32;#15-18;#30-16;13-00;01-00;26-00,      1.31 m,
585,T,2015/07/16,16:56:44.000,SPS,52.634662,N,1.264006,E,87.868 m,0.479 km/h,1.26,0.96,0.81,8(11),#21-28;#19-36;#16-24;#27-21;#18-17;#04-31;#15-17;#30-18;13-00;26-00;01-00,      1.06 m,
