INDEX,RCR,DATE,TIME,VALID,LATITUDE,N/S,LONGITUDE,E/W,HEIGHT,SPEED,DSTA,PDOP,HDOP,VDOP,NSAT (USED/VIEW),
833,S,2008/05/04,13:17:35.000,SPS,41.804001,N,12.700154,E,552.516 m,49.024 km/h,0,1.41,1.11,0.87,9(10),
834,S,2008/05/04,13:17:36.000,SPS,41.804077,N,12.700014,E,551.344 m,48.812 km/h,0,1.41,1.11,0.87,9(10),
835,S,2008/05/04,13:17:37.000,SPS,41.804161,N,12.699893,E,550.078 m,52.261 km/h,0,1.45,1.16,0.87,8(10),
836,S,2008/05/04,13:17:38.000,SPS,41.804264,N,12.699788,E,549.172 m,52.351 km/h,0,1.41,1.11,0.87,9(10),
837,S,2008/05/04,13:17:39.000,SPS,41.804375,N,12.699698,E,548.172 m,51.693 km/h,0,1.41,1.11,0.87,9(10),
838,S,2008/05/04,13:17:40.000,SPS,41.804482,N,12.699613,E,547.250 m,48.328 km/h,0,1.41,1.11,0.87,9(10),
839,S,2008/05/04,13:17:41.000,SPS,41.804577,N,12.699518,E,545.969 m,49.308 km/h,0,1.41,1.11,0.87,9(10),
840,S,2008/05/04,13:17:42.000,SPS,41.804680,N,12.699403,E,545.125 m,48.509 km/h,0,1.41,1.11,0.87,10(10),
841,S,2008/05/04,13:17:43.000,SPS,41.804752,N,12.699260,E,543.891 m,52.223 km/h,0,1.41,1.11,0.87,9(10),
842,S,2008/05/04,13:17:44.000,SPS,41.804813,N,12.699098,E,542.750 m,55.886 km/h,0,1.41,1.11,0.87,9(10),
843,S,2008/05/04,13:17:45.000,SPS,41.804878,N,12.698922,E,541.813 m,53.691 km/h,0,1.41,1.11,0.87,9(10),
844,S,2008/05/04,13:17:46.000,SPS,41.804932,N,12.698767,E,540.656 m,49.454 km/h,0,1.41,1.11,0.87,9(10),
845,S,2008/05/04,13:17:47.000,SPS,41.804974,N,12.698624,E,539.719 m,42.038 km/h,0,1.45,1.16,0.87,8(10),
846,S,2008/05/04,13:17:48.000,SPS,41.804974,N,12.698496,E,539.453 m,35.801 km/h,0,1.41,1.11,0.87,9(10),
847,S,2008/05/04,13:17:49.000,SPS,41.804970,N,12.698377,E,538.281 m,38.424 km/h,0,1.41,1.11,0.87,9(10),
848,S,2008/05/04,13:17:50.000,SPS,41.804913,N,12.698244,E,536.875 m,42.485 km/h,0,1.41,1.11,0.87,9(10),
849,S,2008/05/04,13:17:51.000,SPS,41.804859,N,12.698113,E,535.375 m,46.052 km/h,0,1.44,1.14,0.88,8(10),
850,S,2008/05/04,13:17:52.000,SPS,41.804802,N,12.697964,E,535.000 m,48.341 km/h,0,1.41,1.12,0.87,9(10),
851,S,2008/05/04,13:17:53.000,SPS,41.804745,N,12.697823,E,533.672 m,46.258 km/h,0,1.58,1.25,0.97,8(10),
852,S,2008/05/04,13:17:54.000,SPS,41.804680,N,12.697702,E,533.500 m,42.800 km/h,0,1.58,1.25,0.97,8(10),
853,S,2008/05/04,13:17:55.000,SPS,41.804615,N,12.697609,E,531.453 m,36.257 km/h,0,1.58,1.25,0.97,8(10),
854,S,2008/05/04,13:17:56.000,SPS,41.804554,N,12.697534,E,530.438 m,32.529 km/h,0,1.58,1.25,0.97,8(10),
855,S,2008/05/04,13:17:57.000,SPS,41.804497,N,12.697486,E,529.750 m,28.431 km/h,0,1.58,1.25,0.97,8(10),
856,S,2008/05/04,13:17:58.000,SPS,41.804428,N,12.697466,E,528.859 m,27.530 km/h,0,1.58,1.25,0.97,8(10),
857,S,2008/05/04,13:17:59.000,SPS,41.804344,N,12.697479,E,528.109 m,31.172 km/h,0,1.58,1.25,0.97,8(10),
858,S,2008/05/04,13:18:00.000,SPS,41.804245,N,12.697495,E,527.250 m,37.797 km/h,0,1.58,1.25,0.97,8(10),
859,S,2008/05/04,13:18:01.000,SPS,41.804134,N,12.697504,E,526.438 m,42.761 km/h,0,1.58,1.25,0.97,8(10),
860,S,2008/05/04,13:18:02.000,SPS,41.804020,N,12.697511,E,525.766 m,47.017 km/h,0,1.58,1.25,0.97,8(10),
861,S,2008/05/04,13:18:03.000,SPS,41.803894,N,12.697484,E,525.000 m,48.951 km/h,0,1.58,1.25,0.97,8(10),
862,S,2008/05/04,13:18:04.000,SPS,41.803764,N,12.697449,E,524.297 m,51.793 km/h,0,1.58,1.25,0.97,8(10),
863,S,2008/05/04,13:18:05.000,SPS,41.803619,N,12.697412,E,523.563 m,53.757 km/h,0,1.58,1.25,0.97,8(10),
864,S,2008/05/04,13:18:06.000,SPS,41.803471,N,12.697371,E,522.969 m,55.319 km/h,0,1.58,1.25,0.97,8(10),
865,S,2008/05/04,13:18:07.000,SPS,41.803318,N,12.697334,E,522.438 m,56.296 km/h,0,1.58,1.25,0.97,8(10),
866,S,2008/05/04,13:18:08.000,SPS,41.803158,N,12.697308,E,521.969 m,56.788 km/h,0,1.58,1.25,0.97,8(10),
867,S,2008/05/04,13:18:09.000,SPS,41.803020,N,12.697251,E,521.156 m,55.775 km/h,0,1.58,1.25,0.97,8(10),
868,S,2008/05/04,13:18:10.000,SPS,41.802879,N,12.697205,E,520.422 m,53.837 km/h,0,1.58,1.25,0.97,8(10),
869,S,2008/05/04,13:18:11.000,SPS,41.802753,N,12.697160,E,519.516 m,50.794 km/h,0,1.58,1.25,0.97,8(10),
870,S,2008/05/04,13:18:12.000,SPS,41.802647,N,12.697080,E,518.766 m,51.453 km/h,0,1.58,1.25,0.97,8(10),
871,S,2008/05/04,13:18:13.000,SPS,41.802551,N,12.696970,E,518.094 m,50.764 km/h,0,1.58,1.25,0.97,8(10),
872,S,2008/05/04,13:18:14.000,SPS,41.802475,N,12.696828,E,517.563 m,51.675 km/h,0,1.58,1.25,0.97,8(10),
873,S,2008/05/04,13:18:15.000,SPS,41.802410,N,12.696659,E,517.500 m,53.120 km/h,0,1.58,1.25,0.97,8(10),
874,S,2008/05/04,13:18:16.000,SPS,41.802353,N,12.696470,E,517.516 m,54.288 km/h,0,1.58,1.25,0.97,8(10),
875,S,2008/05/04,13:18:17.000,SPS,41.802338,N,12.696291,E,516.047 m,54.165 km/h,0,1.41,1.12,0.86,9(10),
876,S,2008/05/04,13:18:18.000,SPS,41.802345,N,12.696049,E,515.344 m,55.292 km/h,0,1.41,1.12,0.86,9(10),
877,S,2008/05/04,13:18:19.000,SPS,41.802361,N,12.695849,E,514.172 m,52.806 km/h,0,1.41,1.12,0.86,9(10),
878,S,2008/05/04,13:18:20.000,SPS,41.802399,N,12.695683,E,513.359 m,51.189 km/h,0,1.41,1.12,0.86,9(10),
879,S,2008/05/04,13:18:21.000,SPS,41.802464,N,12.695526,E,512.547 m,50.885 km/h,0,1.41,1.12,0.86,10(10),
880,S,2008/05/04,13:18:22.000,SPS,41.802540,N,12.695393,E,511.695 m,48.856 km/h,0,1.41,1.12,0.86,9(10),
881,S,2008/05/04,13:18:23.000,SPS,41.802628,N,12.695284,E,509.922 m,50.293 km/h,0,1.41,1.12,0.86,9(10),
882,S,2008/05/04,13:18:24.000,SPS,41.802734,N,12.695172,E,508.227 m,56.806 km/h,0,1.41,1.12,0.86,9(10),
883,S,2008/05/04,13:18:25.000,SPS,41.802845,N,12.695044,E,506.750 m,59.519 km/h,0,1.41,1.12,0.86,9(10),
884,S,2008/05/04,13:18:26.000,SPS,41.802990,N,12.694911,E,503.219 m,64.901 km/h,0,1.41,1.12,0.86,9(10),
885,S,2008/05/04,13:18:27.000,SPS,41.803123,N,12.694788,E,500.930 m,66.337 km/h,0,1.41,1.12,0.86,9(10),
886,S,2008/05/04,13:18:28.000,SPS,41.803257,N,12.694659,E,498.750 m,66.212 km/h,0,1.41,1.12,0.86,9(10),
887,S,2008/05/04,13:18:29.000,SPS,41.803394,N,12.694514,E,496.750 m,63.038 km/h,0,1.41,1.12,0.86,9(10),
888,S,2008/05/04,13:18:30.000,SPS,41.803528,N,12.694371,E,494.523 m,60.337 km/h,0,1.41,1.12,0.86,9(10),
889,S,2008/05/04,13:18:31.000,SPS,41.803642,N,12.694234,E,493.477 m,58.969 km/h,0,1.41,1.12,0.86,9(10),
890,S,2008/05/04,13:18:32.000,SPS,41.803757,N,12.694084,E,492.352 m,59.792 km/h,0,1.43,1.12,0.88,8(10),
891,S,2008/05/04,13:18:33.000,SPS,41.803844,N,12.693921,E,491.523 m,60.800 km/h,0,1.41,1.12,0.86,9(10),
892,S,2008/05/04,13:18:34.000,SPS,41.803932,N,12.693739,E,490.398 m,62.800 km/h,0,1.43,1.12,0.88,8(10),
893,S,2008/05/04,13:18:35.000,SPS,41.803982,N,12.693531,E,489.695 m,66.247 km/h,0,1.41,1.12,0.86,9(10),
894,S,2008/05/04,13:18:36.000,SPS,41.804058,N,12.693328,E,488.781 m,66.200 km/h,0,1.43,1.12,0.88,8(10),
895,S,2008/05/04,13:18:37.000,SPS,41.804123,N,12.693126,E,487.797 m,64.122 km/h,0,1.41,1.12,0.86,9(10),
896,S,2008/05/04,13:18:38.000,SPS,41.804184,N,12.692925,E,486.914 m,63.238 km/h,0,1.41,1.12,0.86,9(10),
897,S,2008/05/04,13:18:39.000,SPS,41.804241,N,12.692753,E,485.844 m,54.805 km/h,0,1.45,1.16,0.87,8(10),
898,S,2008/05/04,13:18:40.000,SPS,41.804314,N,12.692595,E,485.320 m,51.640 km/h,0,1.41,1.12,0.86,9(10),
899,S,2008/05/04,13:18:41.000,SPS,41.804363,N,12.692457,E,484.531 m,41.979 km/h,0,1.41,1.12,0.86,9(10),
900,S,2008/05/04,13:18:42.000,SPS,41.804401,N,12.692334,E,483.844 m,38.782 km/h,0,1.44,1.14,0.88,8(10),
901,S,2008/05/04,13:18:43.000,SPS,41.804436,N,12.692224,E,483.328 m,34.172 km/h,0,1.41,1.12,0.86,9(10),
902,S,2008/05/04,13:18:44.000,SPS,41.804436,N,12.692106,E,482.414 m,36.295 km/h,0,1.41,1.12,0.86,9(10),
903,S,2008/05/04,13:18:45.000,SPS,41.804405,N,12.692005,E,481.680 m,33.161 km/h,0,1.41,1.12,0.86,9(10),
904,S,2008/05/04,13:18:46.000,SPS,41.804356,N,12.691932,E,481.000 m,32.006 km/h,0,1.41,1.12,0.86,9(10),
905,S,2008/05/04,13:18:47.000,SPS,41.804287,N,12.691856,E,480.195 m,33.525 km/h,0,1.41,1.12,0.86,9(10),
906,S,2008/05/04,13:18:48.000,SPS,41.804214,N,12.691779,E,479.336 m,35.434 km/h,0,1.41,1.12,0.86,9(10),
907,S,2008/05/04,13:18:49.000,SPS,41.804146,N,12.691729,E,477.758 m,35.854 km/h,0,1.41,1.12,0.86,9(10),
908,B,2008/05/04,13:18:50.000,SPS,41.804043,N,12.691692,E,475.969 m,37.000 km/h,0,1.41,1.12,0.86,9(10),
909,S,2008/05/04,13:18:50.000,SPS,41.804043,N,12.691692,E,475.969 m,37.000 km/h,0,1.41,1.12,0.86,9(10),
910,S,2008/05/04,13:18:50.000,SPS,41.804024,N,12.691675,E,476.227 m,37.107 km/h,0,2.08,1.18,1.72,9(10),
911,S,2008/05/04,13:18:50.000,SPS,41.804012,N,12.691636,E,476.313 m,36.935 km/h,0,2.21,1.18,1.87,8(10),
912,S,2008/05/04,13:18:50.000,SPS,41.803986,N,12.691604,E,475.914 m,36.783 km/h,0,2.08,1.18,1.72,9(10),
913,S,2008/05/04,13:18:51.000,SPS,41.803959,N,12.691576,E,476.008 m,37.005 km/h,0,2.08,1.18,1.72,9(10),
914,S,2008/05/04,13:18:51.000,SPS,41.803936,N,12.691551,E,475.891 m,37.658 km/h,0,2.18,1.21,1.81,8(10),
915,S,2008/05/04,13:18:51.000,SPS,41.803905,N,12.691525,E,476.234 m,37.079 km/h,0,4.57,2.01,4.10,8(10),
916,S,2008/05/04,13:18:52.000,SPS,41.803886,N,12.691491,E,476.828 m,36.960 km/h,0,4.57,2.01,4.10,8(10),
917,S,2008/05/04,13:18:52.000,SPS,41.803867,N,12.691451,E,477.328 m,37.778 km/h,0,4.57,2.01,4.10,8(10),
918,S,2008/05/04,13:18:52.000,SPS,41.803860,N,12.691408,E,476.813 m,38.581 km/h,0,4.57,2.01,4.10,8(10),
919,S,2008/05/04,13:18:53.000,SPS,41.803852,N,12.691365,E,475.789 m,39.537 km/h,0,4.57,2.01,4.10,8(10),
920,S,2008/05/04,13:18:53.000,SPS,41.803856,N,12.691322,E,475.547 m,39.994 km/h,0,2.08,1.18,1.72,9(10),
921,S,2008/05/04,13:18:53.000,SPS,41.803860,N,12.691282,E,474.234 m,39.971 km/h,0,2.08,1.18,1.72,9(10),
922,S,2008/05/04,13:18:54.000,SPS,41.803867,N,12.691233,E,473.820 m,41.227 km/h,0,2.08,1.18,1.72,9(10),
923,S,2008/05/04,13:18:54.000,SPS,41.803875,N,12.691182,E,473.266 m,41.671 km/h,0,2.08,1.18,1.72,9(10),
924,S,2008/05/04,13:18:55.000,SPS,41.803902,N,12.691089,E,473.461 m,40.942 km/h,0,2.08,1.18,1.72,9(10),
925,S,2008/05/04,13:18:57.000,SPS,41.804001,N,12.690903,E,472.789 m,40.997 km/h,0,1.44,1.14,0.87,8(10),
926,S,2008/05/04,13:18:58.000,SPS,41.804089,N,12.690827,E,471.602 m,41.157 km/h,0,1.41,1.12,0.86,9(10),
927,S,2008/05/04,13:18:59.000,SPS,41.804188,N,12.690755,E,471.336 m,44.255 km/h,0,1.41,1.12,0.86,10(10),
928,S,2008/05/04,13:19:00.000,SPS,41.804302,N,12.690701,E,470.500 m,46.808 km/h,0,1.41,1.12,0.86,9(10),
929,S,2008/05/04,13:19:01.000,SPS,41.804413,N,12.690660,E,469.633 m,46.276 km/h,0,1.41,1.12,0.86,9(10),
930,S,2008/05/04,13:19:02.000,SPS,41.804516,N,12.690619,E,468.734 m,43.433 km/h,0,1.41,1.12,0.86,9(10),
931,B,2008/05/04,13:19:03.000,SPS,41.804607,N,12.690578,E,467.820 m,40.054 km/h,0,1.41,1.12,0.86,9(10),
932,S,2008/05/04,13:19:03.000,SPS,41.804607,N,12.690578,E,467.820 m,40.054 km/h,0,1.41,1.12,0.86,9(10),
933,S,2008/05/04,13:19:03.000,SPS,41.804630,N,12.690561,E,467.492 m,38.304 km/h,0,1.41,1.12,0.86,9(10),
934,S,2008/05/04,13:19:03.000,SPS,41.804653,N,12.690546,E,467.148 m,37.221 km/h,0,1.41,1.12,0.86,9(10),
935,S,2008/05/04,13:19:03.000,SPS,41.804680,N,12.690530,E,467.508 m,36.055 km/h,0,1.41,1.12,0.86,9(10),
936,S,2008/05/04,13:19:04.000,SPS,41.804707,N,12.690516,E,467.250 m,35.435 km/h,0,1.41,1.12,0.86,9(10),
937,S,2008/05/04,13:19:04.000,SPS,41.804729,N,12.690502,E,466.992 m,34.785 km/h,0,1.41,1.12,0.86,9(10),
938,S,2008/05/04,13:19:04.000,SPS,41.804760,N,12.690487,E,467.125 m,34.854 km/h,0,1.33,1.05,0.82,10(10),
939,S,2008/05/04,13:19:05.000,SPS,41.804787,N,12.690468,E,466.891 m,35.427 km/h,0,1.41,1.12,0.86,9(10),
940,S,2008/05/04,13:19:05.000,SPS,41.804810,N,12.690446,E,466.656 m,35.101 km/h,0,1.41,1.12,0.86,9(10),
941,S,2008/05/04,13:19:05.000,SPS,41.804836,N,12.690423,E,466.398 m,35.494 km/h,0,1.41,1.12,0.86,9(10),
942,S,2008/05/04,13:19:06.000,SPS,41.804863,N,12.690387,E,466.578 m,35.551 km/h,0,1.43,1.12,0.88,8(10),
943,S,2008/05/04,13:19:06.000,SPS,41.804886,N,12.690359,E,466.367 m,35.036 km/h,0,1.55,1.28,0.87,8(10),
944,S,2008/05/04,13:19:06.000,SPS,41.804955,N,12.690314,E,467.328 m,34.735 km/h,0,1.43,1.12,0.88,8(10),
945,S,2008/05/04,13:19:07.000,SPS,41.805004,N,12.690272,E,467.742 m,34.798 km/h,0,1.43,1.12,0.88,8(10),
946,S,2008/05/04,13:19:07.000,SPS,41.805042,N,12.690226,E,468.148 m,35.815 km/h,0,1.43,1.12,0.88,8(10),
947,S,2008/05/04,13:19:07.000,SPS,41.805061,N,12.690187,E,468.008 m,36.280 km/h,0,2.17,1.21,1.80,8(10),
948,S,2008/05/04,13:19:08.000,SPS,41.805088,N,12.690117,E,467.648 m,34.908 km/h,0,1.41,1.12,0.86,9(10),
949,S,2008/05/04,13:19:10.000,SPS,41.805130,N,12.689961,E,467.039 m,35.623 km/h,0,1.64,1.32,0.97,8(10),
950,S,2008/05/04,13:19:11.000,SPS,41.805122,N,12.689812,E,466.820 m,38.466 km/h,0,1.58,1.25,0.97,8(10),
951,S,2008/05/04,13:19:12.000,SPS,41.805111,N,12.689667,E,466.445 m,43.110 km/h,0,1.58,1.25,0.97,8(10),
952,S,2008/05/04,13:19:13.000,SPS,41.805099,N,12.689502,E,465.906 m,45.368 km/h,0,1.58,1.25,0.97,8(10),
953,S,2008/05/04,13:19:14.000,SPS,41.805099,N,12.689343,E,465.484 m,46.083 km/h,0,1.58,1.25,0.97,8(10),
954,S,2008/05/04,13:19:15.000,SPS,41.805119,N,12.689153,E,465.031 m,50.345 km/h,0,4.56,2.01,4.10,8(10),
955,S,2008/05/04,13:19:16.000,SPS,41.805138,N,12.688983,E,464.672 m,48.208 km/h,0,1.58,1.25,0.97,8(10),
956,S,2008/05/04,13:19:17.000,SPS,41.805172,N,12.688821,E,464.164 m,48.160 km/h,0,1.58,1.25,0.97,8(10),
957,S,2008/05/04,13:19:18.000,SPS,41.805214,N,12.688670,E,463.602 m,47.549 km/h,0,1.58,1.25,0.97,8(10),
958,S,2008/05/04,13:19:19.000,SPS,41.805260,N,12.688522,E,463.039 m,47.359 km/h,0,1.58,1.25,0.97,8(10),
959,S,2008/05/04,13:19:20.000,SPS,41.805317,N,12.688364,E,462.438 m,53.138 km/h,0,1.58,1.25,0.97,8(10),
960,S,2008/05/04,13:19:21.000,SPS,41.805386,N,12.688215,E,461.930 m,52.347 km/h,0,1.58,1.25,0.97,8(10),
961,S,2008/05/04,13:19:22.000,SPS,41.805450,N,12.688070,E,461.398 m,48.895 km/h,0,1.58,1.25,0.97,8(10),
962,S,2008/05/04,13:19:23.000,SPS,41.805496,N,12.687913,E,461.109 m,47.889 km/h,0,1.58,1.25,0.97,8(10),
963,S,2008/05/04,13:19:24.000,SPS,41.805508,N,12.687742,E,461.086 m,46.856 km/h,0,1.58,1.25,0.97,8(10),
964,S,2008/05/04,13:19:25.000,SPS,41.805515,N,12.687585,E,460.531 m,46.973 km/h,0,1.58,1.25,0.97,8(10),
965,S,2008/05/04,13:19:26.000,SPS,41.805508,N,12.687423,E,460.141 m,45.262 km/h,0,1.58,1.25,0.97,8(10),
966,S,2008/05/04,13:19:27.000,SPS,41.805492,N,12.687261,E,459.641 m,45.841 km/h,0,1.58,1.25,0.97,8(10),
967,S,2008/05/04,13:19:28.000,SPS,41.805473,N,12.687119,E,459.406 m,42.396 km/h,0,2.01,1.76,0.98,7(10),
968,S,2008/05/04,13:19:29.000,SPS,41.805435,N,12.686996,E,458.969 m,38.026 km/h,0,1.58,1.25,0.97,8(11),
969,S,2008/05/04,13:19:30.000,SPS,41.805382,N,12.686887,E,458.383 m,38.310 km/h,0,1.58,1.25,0.97,8(11),
970,S,2008/05/04,13:19:31.000,SPS,41.805340,N,12.686762,E,458.102 m,40.452 km/h,0,1.58,1.25,0.97,8(11),
971,S,2008/05/04,13:19:32.000,SPS,41.805286,N,12.686637,E,457.703 m,43.363 km/h,0,1.41,1.12,0.86,9(11),
972,S,2008/05/04,13:19:33.000,SPS,41.805199,N,12.686516,E,456.742 m,45.697 km/h,0,1.58,1.25,0.97,8(11),
973,S,2008/05/04,13:19:34.000,SPS,41.805115,N,12.686389,E,456.883 m,47.690 km/h,0,1.58,1.25,0.97,8(11),
974,S,2008/05/04,13:19:35.000,SPS,41.805019,N,12.686290,E,456.109 m,47.260 km/h,0,1.58,1.25,0.97,8(10),
975,S,2008/05/04,13:19:36.000,SPS,41.804928,N,12.686178,E,456.078 m,49.440 km/h,0,1.58,1.25,0.97,8(10),
976,S,2008/05/04,13:19:37.000,SPS,41.804832,N,12.686064,E,455.789 m,48.904 km/h,0,1.58,1.25,0.97,8(10),
977,S,2008/05/04,13:19:38.000,SPS,41.804741,N,12.685962,E,455.164 m,45.834 km/h,0,1.58,1.25,0.97,8(10),
978,S,2008/05/04,13:19:39.000,SPS,41.804657,N,12.685863,E,454.539 m,42.440 km/h,0,1.58,1.25,0.97,8(9),
979,S,2008/05/04,13:19:40.000,SPS,41.804565,N,12.685780,E,454.000 m,40.732 km/h,0,1.58,1.25,0.97,8(10),
980,S,2008/05/04,13:19:41.000,SPS,41.804497,N,12.685723,E,454.016 m,39.735 km/h,0,1.58,1.25,0.97,8(10),
981,S,2008/05/04,13:19:42.000,SPS,41.804401,N,12.685673,E,453.852 m,40.431 km/h,0,1.58,1.25,0.97,8(10),
982,S,2008/05/04,13:19:43.000,SPS,41.804283,N,12.685642,E,454.320 m,42.858 km/h,0,1.58,1.25,0.97,8(10),
983,S,2008/05/04,13:19:44.000,SPS,41.804153,N,12.685627,E,455.070 m,45.187 km/h,0,1.58,1.25,0.97,8(10),
984,S,2008/05/04,13:19:45.000,SPS,41.804031,N,12.685616,E,455.289 m,44.938 km/h,0,1.58,1.25,0.97,8(10),
985,S,2008/05/04,13:19:46.000,SPS,41.803921,N,12.685604,E,454.820 m,42.822 km/h,0,1.58,1.25,0.97,8(10),
986,B,2008/05/04,13:19:47.000,SPS,41.803810,N,12.685606,E,454.414 m,43.198 km/h,0,1.68,1.37,0.98,7(10),
987,S,2008/05/04,13:19:47.000,SPS,41.803810,N,12.685606,E,454.414 m,43.198 km/h,0,1.68,1.37,0.98,7(10),
988,S,2008/05/04,13:19:47.000,SPS,41.803768,N,12.685608,E,454.195 m,43.303 km/h,0,1.68,1.37,0.98,7(10),
989,S,2008/05/04,13:19:47.000,SPS,41.803734,N,12.685612,E,454.086 m,42.722 km/h,0,1.58,1.25,0.97,8(10),
990,S,2008/05/04,13:19:47.000,SPS,41.803699,N,12.685619,E,453.977 m,42.505 km/h,0,1.58,1.25,0.97,8(10),
991,S,2008/05/04,13:19:48.000,SPS,41.803669,N,12.685626,E,453.852 m,41.206 km/h,0,1.58,1.25,0.97,8(10),
992,S,2008/05/04,13:19:48.000,SPS,41.803638,N,12.685631,E,453.703 m,38.226 km/h,0,1.58,1.25,0.97,8(10),
993,S,2008/05/04,13:19:48.000,SPS,41.803616,N,12.685642,E,453.703 m,36.407 km/h,0,1.58,1.25,0.97,8(10),
994,S,2008/05/04,13:19:49.000,SPS,41.803585,N,12.685668,E,453.672 m,35.463 km/h,0,1.58,1.25,0.97,8(10),
995,S,2008/05/04,13:19:49.000,SPS,41.803562,N,12.685684,E,453.844 m,34.966 km/h,0,4.55,2.00,4.08,8(10),
996,S,2008/05/04,13:19:49.000,SPS,41.803539,N,12.685682,E,453.680 m,33.577 km/h,0,1.58,1.25,0.97,8(10),
997,S,2008/05/04,13:19:50.000,SPS,41.803513,N,12.685685,E,453.539 m,32.285 km/h,0,1.58,1.25,0.97,8(10),
998,S,2008/05/04,13:19:50.000,SPS,41.803482,N,12.685688,E,453.773 m,30.055 km/h,0,1.58,1.25,0.97,8(10),
999,S,2008/05/04,13:19:50.000,SPS,41.803455,N,12.685688,E,453.828 m,28.627 km/h,0,1.58,1.25,0.97,8(10),
1000,S,2008/05/04,13:19:51.000,SPS,41.803432,N,12.685682,E,453.797 m,26.570 km/h,0,1.58,1.25,0.97,8(10),
1001,S,2008/05/04,13:19:51.000,SPS,41.803410,N,12.685666,E,453.477 m,25.782 km/h,0,2.02,1.76,0.98,7(10),
1002,S,2008/05/04,13:19:52.000,SPS,41.803379,N,12.685625,E,453.305 m,23.709 km/h,0,2.02,1.76,0.98,7(11),
1003,S,2008/05/04,13:19:54.000,SPS,41.803326,N,12.685528,E,452.750 m,21.151 km/h,0,1.58,1.25,0.97,8(11),
1004,S,2008/05/04,13:19:55.000,SPS,41.803364,N,12.685415,E,452.195 m,30.103 km/h,0,1.58,1.25,0.97,8(10),
1005,S,2008/05/04,13:19:56.000,SPS,41.803410,N,12.685311,E,451.719 m,34.849 km/h,0,1.58,1.25,0.97,8(10),
1006,S,2008/05/04,13:19:57.000,SPS,41.803478,N,12.685195,E,450.961 m,39.440 km/h,0,1.58,1.25,0.97,8(10),
1007,S,2008/05/04,13:19:58.000,SPS,41.803558,N,12.685082,E,450.648 m,46.244 km/h,0,1.58,1.25,0.97,8(10),
1008,S,2008/05/04,13:19:59.000,SPS,41.803650,N,12.684955,E,450.266 m,52.589 km/h,0,1.58,1.25,0.97,8(10),
1009,S,2008/05/04,13:20:00.000,SPS,41.803768,N,12.684816,E,449.508 m,55.570 km/h,0,1.41,1.12,0.86,9(10),
1010,S,2008/05/04,13:20:01.000,SPS,41.803879,N,12.684678,E,448.922 m,57.113 km/h,0,1.41,1.12,0.86,9(10),
1011,S,2008/05/04,13:20:02.000,SPS,41.803993,N,12.684546,E,448.414 m,57.140 km/h,0,1.41,1.12,0.86,9(10),
1012,S,2008/05/04,13:20:03.000,SPS,41.804123,N,12.684422,E,447.344 m,56.569 km/h,0,1.41,1.12,0.86,9(10),
1013,S,2008/05/04,13:20:04.000,SPS,41.804241,N,12.684340,E,444.102 m,54.720 km/h,0,1.41,1.12,0.86,9(10),
1014,S,2008/05/04,13:20:05.000,SPS,41.804356,N,12.684242,E,441.914 m,53.579 km/h,0,1.41,1.12,0.86,9(10),
1015,S,2008/05/04,13:20:06.000,SPS,41.804455,N,12.684130,E,440.922 m,48.618 km/h,0,1.41,1.12,0.86,9(10),
1016,S,2008/05/04,13:20:07.000,SPS,41.804543,N,12.684054,E,438.438 m,40.958 km/h,0,1.53,1.25,0.88,8(10),
1017,S,2008/05/04,13:20:08.000,SPS,41.804611,N,12.683980,E,438.008 m,29.867 km/h,0,1.53,1.25,0.88,8(10),
1018,S,2008/05/04,13:20:09.000,SPS,41.804649,N,12.683925,E,437.211 m,21.889 km/h,0,2.07,1.17,1.70,9(10),
1019,S,2008/05/04,13:20:10.000,SPS,41.804691,N,12.683924,E,435.273 m,15.989 km/h,0,1.41,1.12,0.86,9(10),
1020,S,2008/05/04,13:20:11.000,SPS,41.804726,N,12.683951,E,434.156 m,15.559 km/h,0,2.07,1.17,1.70,9(10),
1021,S,2008/05/04,13:20:12.000,SPS,41.804729,N,12.684003,E,432.211 m,15.403 km/h,0,1.41,1.12,0.86,9(10),
1022,S,2008/05/04,13:20:13.000,SPS,41.804710,N,12.684066,E,431.961 m,21.886 km/h,0,1.41,1.12,0.86,9(10),
1023,S,2008/05/04,13:20:14.000,SPS,41.804649,N,12.684156,E,429.820 m,30.413 km/h,0,1.44,1.14,0.87,9(10),
1024,S,2008/05/04,13:20:15.000,SPS,41.804588,N,12.684245,E,428.438 m,35.978 km/h,0,1.41,1.12,0.86,9(10),
1025,S,2008/05/04,13:20:16.000,SPS,41.804516,N,12.684348,E,427.180 m,41.184 km/h,0,1.41,1.12,0.86,9(10),
1026,S,2008/05/04,13:20:17.000,SPS,41.804451,N,12.684465,E,424.469 m,43.261 km/h,0,1.41,1.12,0.86,9(10),
1027,S,2008/05/04,13:20:18.000,SPS,41.804371,N,12.684577,E,424.781 m,43.282 km/h,0,1.41,1.12,0.86,9(10),
1028,S,2008/05/04,13:20:19.000,SPS,41.804314,N,12.684683,E,424.156 m,39.827 km/h,0,1.41,1.12,0.86,9(10),
1029,S,2008/05/04,13:20:20.000,SPS,41.804276,N,12.684782,E,423.555 m,33.203 km/h,0,1.58,1.25,0.97,8(10),
1030,S,2008/05/04,13:20:21.000,SPS,41.804276,N,12.684881,E,423.719 m,29.048 km/h,0,1.58,1.25,0.97,8(10),
