Datum,WGS 84,WGS 84,0,0,0,0,0
WP,D,NARVA,50.4926189,12.1054487,09/03/2005,00:00:00.00,
WP,D,Liebknechtstras,50.4938369,12.106101,09/03/2005,00:00:00.00,
WP,D,Jahnstrasse11,50.4936628,12.1071524,09/03/2005,00:00:00.00,
WP,D,Elsterberg,50.6107952,12.1738022,09/03/2005,00:00:00.00,
WP,D,Greiz,50.654763,12.2049567,09/03/2005,00:00:00.00,
WP,D,Gosel,50.8441256,12.4087572,09/03/2005,00:00:00.00,
WP,D,3,50.8773405,12.4338887,09/03/2005,00:00:00.00,
WP,D,Altenburg-Umgehung,50.9649551,12.4359193,09/03/2005,00:00:00.00,
WP,D,Völkerschlachtdenkmal,51.3145207,12.4091433,09/03/2005,00:00:00.00,
