Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories
Waypoint	WPT045		User Waypoint	N56 08.340 E13 45.307	43 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:18:19 		
Waypoint	WPT046		User Waypoint	N56 08.326 E13 45.310	43 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:18:35 		
Waypoint	WPT047		User Waypoint	N56 08.323 E13 45.303	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:18:41 		
Waypoint	WPT048		User Waypoint	N56 08.317 E13 45.225	43 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:19:36 		
Waypoint	WPT049		User Waypoint	N56 08.314 E13 45.189	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:20:01 		
Waypoint	WPT050		User Waypoint	N56 08.300 E13 45.166	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:20:25 		
Waypoint	WPT051		User Waypoint	N56 08.264 E13 45.163	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:21:11 		
Waypoint	WPT052		User Waypoint	N56 08.224 E13 45.190	42 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:22:05 		
Waypoint	WPT053		User Waypoint	N56 08.210 E13 45.220	43 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:22:34 		
Waypoint	WPT054		User Waypoint	N56 08.198 E13 45.249	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:23:01 		
Waypoint	WPT055		User Waypoint	N56 08.182 E13 45.298	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:23:42 		
Waypoint	WPT056		User Waypoint	N56 08.178 E13 45.311	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:24:03 		
Waypoint	WPT057		User Waypoint	N56 08.178 E13 45.314	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:24:05 		
Waypoint	WPT058		User Waypoint	N56 08.173 E13 45.317	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:24:11 		
Waypoint	WPT059		User Waypoint	N56 08.146 E13 45.298	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:24:48 		
Waypoint	WPT060		User Waypoint	N56 08.121 E13 45.279	43 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:25:22 		
Waypoint	WPT061		User Waypoint	N56 08.097 E13 45.256	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:26:03 		
Waypoint	WPT062		User Waypoint	N56 08.086 E13 45.244	45 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:26:35 		
Waypoint	WPT063		User Waypoint	N56 08.080 E13 45.235	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:26:55 		
Waypoint	WPT064		User Waypoint	N56 08.050 E13 45.191	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:27:42 		
Waypoint	WPT065		User Waypoint	N56 08.025 E13 45.141	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:28:30 		
Waypoint	WPT066		User Waypoint	N56 08.022 E13 45.135	47 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:28:55 		
Waypoint	WPT067		User Waypoint	N56 08.014 E13 45.117	48 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:29:40 		
Waypoint	WPT068		User Waypoint	N56 07.995 E13 45.066	47 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:30:23 		
Waypoint	WPT069		User Waypoint	N56 07.976 E13 45.019	47 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:31:04 		
Waypoint	WPT070		User Waypoint	N56 07.958 E13 44.971	46 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:31:45 		
Waypoint	WPT071		User Waypoint	N56 07.952 E13 44.938	43 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:32:13 		
Waypoint	WPT072		User Waypoint	N56 07.950 E13 44.931	43 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:32:27 		
Waypoint	WPT073		User Waypoint	N56 07.950 E13 44.930	43 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:32:29 		
Waypoint	WPT074		User Waypoint	N56 07.923 E13 44.902	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:33:09 		
Waypoint	WPT075		User Waypoint	N56 07.913 E13 44.895	45 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:33:31 		
Waypoint	WPT076		User Waypoint	N56 07.882 E13 44.866	46 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:34:15 		
Waypoint	WPT077		User Waypoint	N56 07.866 E13 44.850	47 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:34:44 		
Waypoint	WPT078		User Waypoint	N56 07.840 E13 44.819	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:35:22 		
Waypoint	WPT079		User Waypoint	N56 07.810 E13 44.783	43 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:36:09 		
Waypoint	WPT080		User Waypoint	N56 07.781 E13 44.750	43 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:36:52 		
Waypoint	WPT081		User Waypoint	N56 07.754 E13 44.720	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:37:30 		
Waypoint	WPT082		User Waypoint	N56 07.723 E13 44.687	43 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:38:15 		
Waypoint	WPT083		User Waypoint	N56 07.687 E13 44.647	43 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:39:06 		
Waypoint	WPT084		User Waypoint	N56 07.656 E13 44.613	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:39:52 		
Waypoint	WPT085		User Waypoint	N56 07.636 E13 44.591	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:40:24 		
Waypoint	WPT086		User Waypoint	N56 07.607 E13 44.566	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:41:05 		
Waypoint	WPT087		User Waypoint	N56 07.588 E13 44.550	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:41:34 		
Waypoint	WPT088		User Waypoint	N56 07.574 E13 44.539	47 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:42:03 		
Waypoint	WPT089		User Waypoint	N56 07.567 E13 44.535	46 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:42:15 		
Waypoint	WPT090		User Waypoint	N56 07.565 E13 44.532	46 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:42:37 		
Waypoint	WPT091		User Waypoint	N56 07.558 E13 44.527	46 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:42:58 		
Waypoint	WPT092		User Waypoint	N56 07.547 E13 44.519	46 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:43:16 		
Waypoint	WPT093		User Waypoint	N56 07.517 E13 44.504	47 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:43:54 		
Waypoint	WPT094		User Waypoint	N56 07.486 E13 44.488	46 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:44:36 		
Waypoint	WPT095		User Waypoint	N56 07.466 E13 44.477	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:45:04 		
Waypoint	WPT096		User Waypoint	N56 07.440 E13 44.460	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:45:38 		
Waypoint	WPT097		User Waypoint	N56 07.409 E13 44.443	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:46:20 		
Waypoint	WPT098		User Waypoint	N56 07.376 E13 44.433	46 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:47:02 		
Waypoint	WPT099		User Waypoint	N56 07.345 E13 44.427	49 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:47:40 		
Waypoint	WPT100		User Waypoint	N56 07.309 E13 44.417	50 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:48:25 		
Waypoint	WPT101		User Waypoint	N56 07.275 E13 44.405	51 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:49:07 		
Waypoint	WPT102		User Waypoint	N56 07.268 E13 44.399	51 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:49:31 		
Waypoint	WPT103		User Waypoint	N56 07.262 E13 44.397	52 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:49:52 		
Waypoint	WPT104		User Waypoint	N56 07.259 E13 44.397	52 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:50:18 		
Waypoint	WPT105		User Waypoint	N56 07.237 E13 44.387	52 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:50:49 		
Waypoint	WPT106		User Waypoint	N56 07.216 E13 44.376	52 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:51:23 		
Waypoint	WPT107		User Waypoint	N56 07.204 E13 44.375	53 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:51:56 		
Waypoint	WPT108		User Waypoint	N56 07.188 E13 44.370	53 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:52:26 		
Waypoint	WPT109		User Waypoint	N56 07.188 E13 44.370	52 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:52:35 		
Waypoint	WPT110		User Waypoint	N56 07.154 E13 44.374	52 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:53:17 		
Waypoint	WPT111		User Waypoint	N56 07.119 E13 44.380	51 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:54:00 		
Waypoint	WPT112		User Waypoint	N56 07.083 E13 44.402	51 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:54:47 		
Waypoint	WPT113		User Waypoint	N56 07.056 E13 44.423	50 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:55:24 		
Waypoint	WPT114		User Waypoint	N56 07.024 E13 44.433	49 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:56:05 		
Waypoint	WPT115		User Waypoint	N56 06.983 E13 44.436	50 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:56:54 		
Waypoint	WPT116		User Waypoint	N56 06.957 E13 44.437	52 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:57:27 		
Waypoint	WPT117		User Waypoint	N56 06.922 E13 44.438	52 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:58:11 		
Waypoint	WPT118		User Waypoint	N56 06.902 E13 44.392	48 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:58:52 		
Waypoint	WPT119		User Waypoint	N56 06.898 E13 44.340	46 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:59:27 		
Waypoint	WPT120		User Waypoint	N56 06.901 E13 44.294	47 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:59:57 		
Waypoint	WPT121		User Waypoint	N56 06.904 E13 44.253	46 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:00:26 		
Waypoint	WPT122		User Waypoint	N56 06.922 E13 44.204	45 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:01:07 		
