No,Latitude,Longitude,Name,Description,Symbol
1,35.972033,-87.134700,"GCEBB","Mountain Bike Heaven by susy1313","Waypoint"
2,36.090683,-86.679550,"GC1A37","The 😁 Troll by a182pilot & Family","Waypoint"
3,35.996267,-86.620117,"GC1C2B","Dive Bomber by JoGPS & family","Waypoint"
4,36.038483,-86.648617,"GC25A9","FOSTER by JoGPS & Family","Waypoint"
5,36.112183,-86.741767,"GC2723","Logan Lighthouse by JoGps & Family","Waypoint"
6,36.064083,-86.790517,"GC2B71","Ganier Cache by Susy1313","Waypoint"
7,36.087767,-86.809733,"GC309F","Shy's Hill by FireFighterEng33","Waypoint"
8,36.057500,-86.892000,"GC317A","GittyUp by JoGPS / Warner Parks","Waypoint"
9,36.082800,-86.867283,"GC317D","Inlighting by JoGPS / Warner Parks","Waypoint"
