No,Latitude,Longitude,Name,Altitude
1,50.031985,14.310719,"X",
2,50.101786,14.391518," >  1",235.4
3,50.102963,14.391518,"2",235.4
4,50.104888,14.391045,"3",235.4
5,50.206686,14.260687,"12 SEP 19:07",226.6
6,50.213687,14.307941,"15 SEP 18:47",287.8
7,50.184026,14.367012,"3 OCT 15:42",197.8
8,50.172190,14.239638,"3 OCT 17:33",261.8
