No,Latitude,Longitude,Name,Description,Symbol
74,59.947630,30.283500,"СПОРТИВНАЯ-2","Метро","Waypoint"
75,59.989210,30.255000,"СТАРАЯ ДЕРЕВНЯ","Метро","Waypoint"
76,59.916310,30.318670,"ТЕХНОЛОГИЧЕСКИЙ ИНСТИТУТ","Метро","Waypoint"
77,60.016600,30.315550,"УДЕЛЬНАЯ","Метро","Waypoint"
78,59.907360,30.483410,"УЛИЦА ДЫБЕНКО","Метро","Waypoint"
79,59.906180,30.317830,"ФРУНЗЕНСКАЯ","Метро","Waypoint"
80,59.985400,30.300780,"ЧЕРНАЯ РЕЧКА","Метро","Waypoint"
81,59.944460,30.359630,"ЧЕРНЫШЕВСКАЯ","Метро","Waypoint"
82,59.960880,30.291950,"ЧКАЛОВСКАЯ","Метро","Waypoint"
83,59.879080,30.318630,"ЭЛЕКТРОСИЛА","Метро","Waypoint"
